timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703696667819,208,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-20,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,208,0,0
1703696667817,219,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,200,OK,Thread Group 1-18,text,true,,3241,373,20,20,https://dev.nekmart.co.uk/_next/static/css/27621f991c451401.css,219,0,0
1703696667866,225,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-4,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,225,0,0
1703696667906,216,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-12,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,216,0,0
1703696667882,240,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-1,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,240,0,0
1703696667892,230,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-3,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,230,0,0
1703696667935,207,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-15,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,207,0,0
1703696667915,229,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-14,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,229,0,0
1703696667960,208,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-19,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,208,0,0
1703696667961,219,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-10,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,219,0,0
1703696667959,228,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-16,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,228,0,0
1703696667959,228,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-2,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,228,0,0
1703696667988,212,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-8,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,212,0,0
1703696667988,212,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-11,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,212,0,0
1703696667988,225,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-9,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,224,0,0
1703696667999,220,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-17,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,220,0,0
1703696667992,227,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-7,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,226,0,0
1703696668009,212,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-5,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,212,0,0
1703696668013,216,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-13,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,216,0,0
1703696668024,213,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-6,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,213,0,0
1703696668027,210,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-20,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,210,0,0
1703696668036,216,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,200,OK,Thread Group 1-18,text,true,,837,373,20,20,https://dev.nekmart.co.uk/_next/static/css/7d13830f9f4d1100.css,216,0,0
1703696668091,224,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-4,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,224,0,0
1703696668123,215,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-3,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,214,0,0
1703696668123,216,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-12,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,216,0,0
1703696668123,224,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-1,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,224,0,0
1703696668142,220,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-15,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,220,0,0
1703696668144,236,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-14,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,236,0,0
1703696668168,216,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,200,OK,Thread Group 1-19,text,true,,9647,373,20,20,https://dev.nekmart.co.uk/_next/static/css/9496feffb625b18a.css,216,0,0
1703696668181,214,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,200,OK,Thread Group 1-10,text,true,,5937,373,20,20,https://dev.nekmart.co.uk/_next/static/css/c88c15c09b0d30f6.css,214,0,0
